start_segment,end_segment,text
0.0,4.0,O Podiqueche que você ouve agora uma produção da Centra III.
13.0,16.0,Começa agora ao Chadreis Verbal.
19.0,26.0,Bom crepúsculo ouvintes da Centra III está começando mais o Medição do Chadreis Verbal.
26.0,33.0,A sua revista Semanal de Política Internacional em Formato Podcastal.
33.0,36.0,Meu nome é Matias Pinto e como sempre estou ao lado dele.
36.0,43.0,"Meu amigo e companheiro, Felipe Nobre Figueredo, o homem por trás do tabuleiro."
43.0,46.0,"Olá, meu caro Matias. Olá, todos nossos ouvintes."
46.0,50.0,Todo mundo que nos ovo nos prestigia nos divulga nos toleros nos anos deseja.
50.0,61.0,"Desquino Zodeia, mas não nos tira do ouvido, chegando aqui a edição de número 391 do Chadreis Verbal."
61.0,66.0,Já podemos começar a contar de regressiva para o 400.
66.0,69.0,Não esperava que chegaremos a 400.
69.0,74.0,Inclusive você disse que nessa última semana teve vários downloads do programa número 1.
74.0,81.0,"Isso, teve mais de 200 downloads nos últimos 30 dias da primeira edição do Chadreis Verbal."
81.0,84.0,Nossa voz estava menos callejada.
84.0,90.0,"Não, a estrutura do programa era outro universo."
90.0,93.0,Mais burros também.
93.0,95.0,"É, provavelmente mais burros."
95.0,101.0,"Mas então em edição de número 391, chegando a Facebook, viajam a Uruguai."
101.0,104.0,Fiz excelente viagem.
104.0,107.0,"Que time esse que você está vestindo, esse que eu mise em."
107.0,109.0,O bibliotrético progresso.
109.0,110.0,Ele dá onde é de Montevideo.
110.0,111.0,De Montevideo.
111.0,113.0,No bairro dela-terra.
113.0,119.0,Inclusive é o clube que o tabarevás que espresidiu antes de ser presidente do Uruguai.
119.0,124.0,"Olha só, eu peço desculpas pela ignorância ou não reconheci."
125.0,132.0,"Então estamos aí depois da edição de número 391, começando depois de duas semanas."
132.0,137.0,Então sempre ao medição um pouquinho mais recheada.
137.0,141.0,Embora tenha sido menos pesado do que eu achei que é a sê-viu.
141.0,145.0,"Pois é, o roteiro também imaginava que ia ser mais parrudo."
145.0,153.0,Mas sem mais delongas passamos para o primeiro dos três blocos do giro de notícias.
155.0,157.0,Giro de notícias.
170.0,176.0,Notícias da sexta-feira retrasada de a 9 de agosto.
176.0,180.0,Mali expulsa embaixador da Suécia.
181.0,187.0,"Mais uma notícia ligada ao distanciamento dos países do Sahel,"
187.0,190.0,que passaram por golpes militares recentemente.
190.0,197.0,"Mali, porque na faço iníger, o distanciamento do que se convencionou chamar ocidente."
197.0,207.0,"Porque o governo Suéco anunciou que toda ajuda humanitária, que seria de destinada ao Mali,"
207.0,216.0,"seria congelada por que o ministro de cooperação internacional e comércio da Suécia,"
216.0,223.0,ele disse que você não pode apoiar a guerra ilegal de agressão contra o crânia
223.0,229.0,e ao mesmo tempo receber centenas de milhões de coroas todo ano em ajuda.
229.0,232.0,"Coroas, no caso, a moeda sueca."
232.0,234.0,Suécia não usa o euro.
234.0,239.0,E essa declaração repercutiu nos países do Sahel.
239.0,245.0,"Então, o governo do Mali expulsou o embaixador Suéco."
245.0,252.0,"Na verdade, não acaba sendo uma notícia tão impactante,"
252.0,261.0,"porque o próprio governo Suéco já havia anunciado que fecharia sua embaixada no Mali,"
261.0,270.0,"no final desse ano, e a embaixada seria acumulada com a Suéco, embaixada em Dakar, capital do Senegal."
270.0,277.0,"Então, basicamente anteciparam um processo que já estava anunciado."
