start_segment,end_segment,text
0.0,4.0,O Podiqueche que você ouve agora uma produção da Centra ou 13.
13.0,16.0,Começa agora ao Chadreis Verbal.
19.0,23.0,Bom crepúsculo ouvintes da Centra ou 3.
23.0,27.0,Está começando mais o medição do Chadreis Verbal.
27.0,34.0,A sua revista semanal de política internacional em formato Podcastal.
34.0,37.0,Meu nome Matias Pint como sempre estou ao lado dele.
37.0,43.0,"Meu amigo e companheiro, Felipe Nobre Figueiredo, o homem por trás do tabuleiro."
44.0,50.0,"Olá meu caramatias, Olá todos nós ouvintes, o mundo que nos ove nos prestigia, nos divulga nos solero, nos amo, nos deseja."
50.0,66.0,"Desqui nos odeia, mas não nos tira dovido, chegando aqui o programa de número 403, especial G20 no Brasil 2024 na cidade do Rio de Janeiro."
66.0,69.0,Já fico o disclaimer que está grande.
69.0,79.0,"Pois é, então assim, começar agradecendo todos nós ouvintes porque eles que permitiram a gente fazer esse trabalho,"
79.0,87.0,"eles que nos incentivam, que nos dão força para continuar e fazem com que portas sejam abertas para a gente."
87.0,99.0,"Pedir pros uns ouvintes compartilhar, advogar esse programa quando ele sair e com aqueles disclêmers, que é muito longo, mas aprovido por parte, este é a minutagem no site, etc etc etc."
99.0,107.0,"E eu e o Matias nós temos muitos defeitos, mas em gratidão é um que a gente evita-se."
107.0,119.0,"Então a gente tem que fazer alguns agradecimentos aqui, mandam abraço por nosso querido Tulio, que a gente conheceu ele pessoalmente, lá no painel da Nati Finanças, no Cria G20,"
119.0,131.0,"um abraço para Raquel Sepúvida do Palas do Planalto, que coordenou ali o meu processo da credencial, inclusive, para poder cobrir a Cúpula dos líderes,"
131.0,141.0,"um abraço para o meu grandíssimo amigo João Egino de Plomata, já com vários anos de estrada, uma das pessoas mais gênerois que eu já conheci,"
141.0,151.0,"um abraço para Ana Maria e para Marina da Secão também, um abraço para Patricia Camargo, também de Plomata, que entrou recentemente, foi minha luna,"
151.0,158.0,"e assim como José Martins, Gabriel Iúrio, Gibran, os três oficiais de chancellaria, aprovados no último concurso,"
158.0,166.0,"agradecer também todo mundo que veio tirar foto com a gente, mandam abraço por Santiago da Organização dos Estados Ibero-americanos,"
166.0,174.0,"que quer convidar eu e o Matias para alguns eventos, mas provavelmente algum que não tem o líder tribal espanhol junto, que assim não vai ter climao,"
174.0,185.0,"mandam abraço para o nosso queridíssimo Lucas Padilha, que fez coordenou um trabalho excelente, vocês vão ver uma entrevista com ele, Antônio Mariano,"
185.0,197.0,"também, e Jorge Acosta, Susanne Verso, Marcelo, Ana, todos eles fizeram um trabalho sensacional, mas a gente não pode não destacar o nosso amigo,"
197.0,210.0,"agora amigo ouvinte, que também trabalhou pra cacete, pra caramba, nosso Felipe Valente Munis, que trabalha justamente com a equipe do Antônio Mariano,"
210.0,216.0,"a equipe do Lucas Padilha, ali o gabinete do prefeito Eduardo Pais, então..."
216.0,228.0,"Abreu todas as portas imagináveis, não nos possibilitaram muito do que a gente fez, agora porque assim, algumas pessoas podem até torcer meu nariz,"
228.0,235.0,"falar, vocês estão puxando saco dos caras, a gente está agradecendo, porque a gente, por mais que o Cháderes Erbal,"
235.0,242.0,"o Gtn nome, e tal, maior parte do tempo o Cháderes Erbal é eu e o Matias, então assim a gente..."
242.0,251.0,"A divulgação foi sempre no Boca Boca, né? Isso, então assim, não é que a gente tem um, vai ter uma equipe enorme, a gente vai ter verbas pra fazer,"
251.0,258.0,"levar uma equipe ao Jazira, ao Jazira emitiu, acho que 40 credenciais pra culpa dos líderes, porque tem o Temo,"
258.0,265.0,"o Temo, o Temo, porque tem que ir para a B, tem equipe em inglês, né? Então assim, a gente não tem a equipe do Jazira, então a gente tem..."
265.0,268.0,"Nós somos os nossos próprios produtores, né?"
268.0,277.0,"É, então a gente tem que agradecer, sim, essas pessoas, porque elas dedicaram parte do seu tempo pra nós e pra vocês,"
277.0,285.0,"então assim, ficam abraços realmente de muita gratidão pra essas pessoas, isso não impede a gente, claro, de fazer as perguntas difíceis,"
285.0,292.0,"de fazer provocações, até porque fica lá todo mundo sendo barrista, sendo que o Padila nem do Rio é."
292.0,303.0,"Mas então, um abraço pra todos eles e obrigado pelo trabalho, o cuidado que eles tiveram com a gente."
303.0,311.0,"E antes de passar pro primeiro bloco, eu vou fazer um convite agora na apresentação que eu tinha feito nas duas últimas edições,"
311.0,316.0,"no encerramento, pra aproveitar quem tiver ouvindo o programa logo que ele saía, né?"
316.0,320.0,"Daí, deve sair no final da quinta-feira ou no começo da sexta-feira."
320.0,331.0,"E na própria sexta, eu chego em Porto Alegre e já às nove da noite, eu descotecarei lá no milonga, na travessa venezianos,"
331.0,338.0,"38 no coração da cidade-basca. Então, quem for nosso ouvinte, aí da região, né?"
338.0,349.0,"Metropolitana de Porto Alegre, ficou convite pra colar lá, lembrando que a entrada é franca, você só paga o que consumir e dá pra ouvir o som ali da travessa mesmo."
349.0,357.0,"Então, porque até o salão não é tão grande, então ficou novamente aí um abraço pro Pepe Martini pra toda a equipe do milonga,"
357.0,361.0,por abrir as portas novamente para o meu sete.
361.0,365.0,"Eles são milongueros? São milongueros, eles são terríveis, amiga."
366.0,371.0,"Bem, sem mais delongas, passemos para o primeiro bloco dos três giros de notícia."
387.0,389.0,Giro de notícias.
396.0,408.0,"Notícia do sábado retrasado de a nove de novembro, conselho de segurança da ONU, Sanciona Generais do Sudão."
408.0,419.0,Lembrando que as sancões do Conselho de Segurança da ONU são as unicas sancões vinculantes pra todos os países.
419.0,425.0,"Quando Estados Unidos sanciona alguém em um país, ninguém tem obrigação de cumprir."
425.0,430.0,"Muitos países vão cumprir, claro, porque se nos Estados Unidos vai, e falou, olha só, você está violando nossas sancões,"
430.0,432.0,então vamos sancionar você também.
432.0,439.0,Mas as sancões do Conselho de Segurança são multilaterais e são vinculantes pra todo mundo.
440.0,455.0,"E agora, dois generais que fazem parte das forças de apoio rápido foram alvo dessas sancões por participação em abusos e violações de direitos humanos."
456.0,468.0,Vamos aproposta dos Estados Unidos e que inclui banimento de viagens e congelamento de bens e propriedades.
468.0,478.0,"Então, agora, por exemplo, se um desses dois generais tenta pegar um voo pra algum lugar, ele não pode entrar nesse outro país."
479.0,484.0,"Isso não significa que ele será preso, isso significa que ele não pode entrar, então, um banimento de viagens,"
484.0,494.0,"é uma sancão administrativa, não é um pídeo de prisão que aí seria emitido pelo TPI pelo Tribunal Penal Internacional."
494.0,516.0,"Certo! E aproveitando que estamos no Sudão, Felipe, ficou abraço aí pros amigos do Ponta de Lança, já que a seleção Sudanesa conseguiu a classificação nessa segunda-feira após em parte sem gols contra Angola para a fase de grupos da próxima Copa africana de nações."
516.0,526.0,O Sudão não disputava a competição desde 2021 e também lidera o seu grupo nas eliminatórias para a Copa do mundo.
526.0,540.0,E? E? E no chade tivemos mais um confronto na região do Lago Chade envolvendo tropas do país e integrantes do grupo Boco-Rara.
540.0,569.0,"Então tivemos 15 soldados mortos, 32 feridos e cerca de 96 terroristas mortos do Boco-Rara. E na Somália, o governo do Estado de Júbalândia, suspendeu a sua cooperação com o governo federal, afirmando que o governo federal está desrespeitando autonomia regional devido a Copa do Norte de Avalonção."
569.0,589.0,"Devido a atenção envolvendo alguns dos clãs da região. E essa notícia é interessante porque a gente nós estamos vendo um processo internacional de normalização do governo federal da Somália, que é importante, que é bom."
589.0,603.0,"Porém, nós ainda temos, sim, muita instabilidade interna na Somália. Então essa normalização da República Federal Somália não necessariamente ela pode ser feita numa velocidade muito grande infelizmente."
603.0,618.0,"Notícia da segunda-feira da semana passada de 11 de novembro, ditador da Zerbaixão, abre copi afirmando que petróleo é presente de Deus."
618.0,632.0,"Então é um discurso muito complicado, muito perigoso, porque você vira e fala, olha só, temos que combater as mudanças climáticas. Não, petróleo é um presente de Deus, a gente tem que usar o presente de Deus."
632.0,652.0,"Então assim, mas como qualquer presente você tem que saber utilizar direito, entendeu? Não é porque seu padrinho te deu uma bola de futebol oficial do brasileiro, que você vai chutar ela na cara dos seus pais, o que você vai quebrar a janela da vizinha."
652.0,670.0,"Então assim, mesmo que você ganha um presente, você tem que saber utilizar direito as coisas. E o ditador Aliéve também falou no discurso de abertura da copi, da conferência do clima, se vangloreou do processo de limpeza étnica que ocorreu inagorno o carabac no ano passado."
670.0,681.0,"E nesse sentido, inclusive, nós tivemos dois episódios de tensão no Azerbaijão envolvendo políticos dos Estados Unidos, meu carmatias."
681.0,696.0,"O deputado Frank Palon, que visitou a região de Nagorno no carabac, quando a comunidade Armenia ainda residia ali, ele foi hostilizado por diversas pessoas na entrada da copi no Azerbaijão."
696.0,721.0,"E ele disse que, se não fosse pela segurança contratada pela embaixada, eu teria ido parar no hospital. E ele disse também que sabemos que qualquer manifestação para ocorrer aqui precisa de autorização do governo, ou seja, basicamente dizendo que o governo do Azerbaijão que incentivou essa turba a utilizar-lo."
721.0,735.0,E o senador Sheldon White House na copi afirmou que a ditadora do Azerbaijão precisa soltar os prisioneiros políticos armenos e que os armenos têm direito de retorno a sua terra ancestral.
735.0,750.0,"E nesse sentido, recomendo a leitura da matéria da Isabel Seta no nexo, da copi 29, as ações do Azerbaijão contra jornalistas e ativistas. E que dialoga muito com o que a gente tem falado aqui, né? Porque a Azerbaijão quer realizar a copi 29."
750.0,761.0,"Quis realizar a copi 29 para limpar um pouco mais sua imagem, mas, no fim das contas, acabou colocando uma lupa gigante sobre os abusos que eles mesmos comem."
761.0,776.0,"E claro que, ao final da copi, a gente, como sempre, vai encher a paciência da nossa querida na talianterstel para comentar esse assunto e também comentar a questão do campo de vaca-murta numa perspectiva ambiental."
776.0,790.0,"E, outra notícia sobre isso, meu carmatias, que a Austrália e Turquia estão aí brigando nos bastidores para ver quem vai cediar a copi de 2022."
790.0,805.0,"Lembrando que a Austrália é extremamente dependente de Carvão Mineral, quer explorar petróleo ali perto do Timor Leste, a Turquia quer explorar petróleo e gas no Mediterrâneo oriental e é a principal viabilizadora das exportações."
805.0,810.0,E também dos abusos direitos humanos nas irbajão.
810.0,812.0,"Então, está tudo em casa."
812.0,813.0,Tudo em casa.
813.0,825.0,"Notícia da quinta-feira da semana passada de 14 de novembro, partido comunista do Sirilanca consegue maiorir a qualificada no Parlamento."
826.0,840.0,"Lembrando que a maioria é qualificada ou supermauria, quando um partido tem dois terços de uma casa legislativa, que normalmente é o critério para reformas constitucionais e muitos modelos, por exemplo, no caso do Brasil."
840.0,854.0,"E o Partido Nacional Popular, que é o Partido Comunista do Sirilanca, basicamente, liderado pelo Anura Kumara di Sanaiake, que foi eleito presidente do Sirilanca."
854.0,865.0,"E depois de ser leito presidente, ele determinou novas eleições legislativas para que o Parlamento refletisse esse novo cenário político do Sirilanca."
