start_segment,end_segment,text
0.0,4.0,O Podiqueche que você ouve agora uma produção da Centra III.
4.0,17.0,Começa agora ao Chadreis Verbal.
17.0,27.0,Bom crepúsculo ouvintes da Centra III está começando mais uma edição do Chadreis Verbal.
27.0,34.0,"A sua revista semanal de política internacional em formato, Podique-Astal."
34.0,37.0,Meu nome é Matias Pinto e como sempre estou ao lado dele.
37.0,44.0,"Meu amigo e companheiro, Felipe Nobre-Figueiredo, o homem por traseo tabuleiro."
44.0,45.0,"Olá, meu carmatias."
45.0,49.0,"Todo mundo que nos houve nos prestigir nos divulga nos solera nos émos nos deseja,"
49.0,52.0,"diz que nos odeia mais de um nos tira dovido,"
52.0,58.0,chegando no ar à edição do Chadreis Verbal de número 404.
58.0,60.0,"É, deu erro."
60.0,62.0,É o erro 404.
62.0,66.0,"É uma pequena piadóca, nossa aqui."
66.0,69.0,"Uma piadola, nerdola."
69.0,76.0,"E mandou abraço para todo mundo que comentou, que referendou,"
76.0,82.0,"recomendou o nosso edição de número 403 de recorde de duração,"
82.0,91.0,"essas loucuras que a gente faz com 10 convidados e inclusive para facilitar que vocês possam ouvir tudo,"
91.0,94.0,tirar o atraso do programa.
94.0,96.0,"Semana que vem, não tem programa."
96.0,101.0,"Semana que vem, primeira semana de dezembro, não teremos programa."
101.0,110.0,"Então a gente volta na sexta-feira 13, justamente, para ficar bem apocalíptico,"
110.0,113.0,com um convidado inclusive para esse programa.
113.0,120.0,"E então, a semana que vem, pula para o tempo de todo mundo ouvir as 8 horas da semana passada,"
120.0,122.0,mas as horas dessa semana.
122.0,130.0,"E queria agradecer aqui todo mundo que compareceu ao milonga na sexta-feira da semana passada,"
130.0,136.0,"muitos ouvintes do Chadez Verbal, presentes ali, para prestigiar o meu set,"
136.0,139.0,"muita gente mandou abraço para você, Felipe."
139.0,140.0,Muito obrigado.
140.0,145.0,"Tinha muitos ouvintes, inclusive, das relações internacionais lá da Urges, né?"
145.0,152.0,"Inclusive, depois que acabou o meu set, eu estou com a ideia com um pessoal que ficou lá até o fim."
152.0,156.0,"Então, eu vou ficar aqui agradecimento a todo mundo, não vou citar o nome de ninguém,"
156.0,162.0,"para não cometer nenhuma indelicadeza, esquecer, mas inclusive, que eu seram presentes,"
162.0,170.0,"enfim, então ficou o agradecimento mais uma vez a todo mundo que compareceu na sexta-feira da semana passada,"
170.0,171.0,e também com quem.
171.0,179.0,"Eu queio a ideia na impedicópa no dia seguinte, que a companhia nosso trabalho também mandou muito carinho para mim,"
179.0,184.0,"e para o Felipe eu agradeço mais uma vez por estar em Porto Alegre, me senti em casa,"
184.0,189.0,"e todo mundo que houve o Chadezverbal desde lá do Paralá do Tinta,"
189.0,193.0,ficar aqui o nosso forte quebra a costela.
193.0,198.0,"Então é isso, passemos para o primeiro bloco do giro de notícias."
198.0,222.0,Notícias
222.0,233.0,"Notícias da sexta-feira da semana passada de 22 de novembro, Trump nomeia nova procuradora geral após"
233.0,237.0,desistência de Aís Congrescista.
237.0,246.0,"Isso, a gente tirou sarro aqui, por conta da indicação do Matt Guides, e ele recusou a indicação,"
246.0,250.0,"porque ele sabe que ele não dificilmente seria aprovado no Congresso,"
250.0,255.0,porque ele tem acusações criminales gravíssimas.
255.0,263.0,"E, enfim, às vezes seria bom, você tem uns critérios bem definidos sobre o tipo de indicação."
263.0,268.0,"Mas de qualquer maneira, o Donald Trump nomeou a ex-procuradora geral da Flórida,"
268.0,274.0,"Penn Bondi, com Inno final, ela não é prima do James Bondi."
274.0,276.0,Agora é uma Flórida o Womand.
276.0,283.0,"É uma Flórida o Womand, como futura chefe do departamento de justiça,"
283.0,288.0,e ela ganhou muito destaque por dois motivos.
288.0,294.0,"Primeiro, quando ela é procuradora geral da Flórida, ela entrou com ações contra o Obamakair,"
294.0,298.0,"e segundo, ela teve um programa na Fox News."
298.0,300.0,Que é o critério de admissão.
300.0,303.0,"É, pareitinho, é a intência, o principal critério."
303.0,308.0,"Não é lei da ficha limpa, não é currículo, não é?"
308.0,310.0,Tem um programa na Fox News.
310.0,316.0,"Tem, se debatido muito, nos Estados Unidos, o fato de que o Donald Trump,"
316.0,323.0,"várias vezes, durante a campanha, ele afirmou que não apoiava o projeto 2025,"
323.0,329.0,"que é um projeto elaborado por diversos think tanks conservadores dos Estados Unidos,"
329.0,334.0,"para fortalecer o poder presidencial no país,"
334.0,340.0,"porém, ele tem indicado várias pessoas ligadas a esse projeto pro governo."
340.0,343.0,"É um dos principais ninhos, não precisa de isso,"
343.0,349.0,"é a Heritage Foundation, que é uma instituição melcom, enfim, dos Estados Unidos."
349.0,354.0,"Também se tem se debatido na imprensa dos Estados Unidos,"
354.0,362.0,"que, até agora, o Donald Trump não revelou a campanha,"
362.0,367.0,"melhor dizendo, do Donald Trump, não revelou os principais financiadores,"
367.0,370.0,"inclusive do seu projeto de transição,"
370.0,375.0,"e isso, obviamente, leva suspeitas de conflito de interesse."
375.0,379.0,"Ainda, em relação ao Donald Trump, o procurador especial, Jack Smith,"
379.0,383.0,"pediu a justiço o arquivamento das duas acusações criminais,"
383.0,390.0,"federais, contra o Donald Trump, um que ele era real por tentar subverteir as eleições,"
390.0,395.0,e outro sobre os documentos confidenciais que teriam sido encontrados na casa dele.
395.0,402.0,"E o procurador disse que será demitido, assim que o Donald Trump assumir o cargo,"
402.0,407.0,"então, o pedido de arquivamento, parte do fato de que o Departamento de Justiça"
407.0,409.0,não pode processar um presidente no cargo.
409.0,413.0,"Então, veja, o Donald Trump, o Michael Chebrin, com isso, mas é verdade,"
413.0,418.0,o Donald Trump ganhou a eleição em busca também de não ser preso.
418.0,423.0,"Falando também ainda sobre o Donald Trump, a gente vai abordar mais isso,"
423.0,426.0,"mais para frente, quando a gente fala de América Latina,"
426.0,431.0,"mas ele disse que, logo no seu primeiro dia,"
431.0,435.0,"ele vai importar rifas de 25%, o Canadá é o México,"
435.0,444.0,e o governo Canadá afirmou que o Canadá é essencial para o suprimento energético
444.0,450.0,"dos Estados Unidos, e que tarifas aos produtos canadenses levarem apenas a aumento"
450.0,454.0,do curso de vida e da inflação nos Estados Unidos.
454.0,458.0,"Ainda nessa questão, Estados Unidos e Canadá, meu caro Matias,"
458.0,464.0,"foi publicado essa semana uma estimativa pela Lancet,"
464.0,468.0,"uma dos principais editorias de publicações científicas,"
468.0,476.0,sobre a diferença do preço de drogas nos Estados Unidos e no Canadá.
476.0,482.0,"E, junto com isso, o fato de que muitos cidadãos nos Estados Unidos vão ao Canadá"
482.0,488.0,"para comprar o Zenpique, que é a droga que tem sido muito utilizada."
488.0,491.0,A droga do momento em relação ao obesidade e tal.
491.0,496.0,"E a diferença de preço entre Estados Unidos e Canadá,"
496.0,501.0,"dosempique, na média, pode chegar a 600 dólares."
501.0,508.0,"Então, assim, você compra o Zenpique no Canadá por 300 e nos Estados Unidos por 900."
508.0,512.0,"Então, essa é a diferença de preço."
512.0,515.0,"E, antes de passar bola para você, meu caro Matias,"
515.0,518.0,"para começar a encerrar esse giro pelos Estados Unidos,"
518.0,525.0,"nessa quarta-feira de 27, nós tivemos uma troca de prisioneiros,"
525.0,532.0,"digamos assim, entre Estados Unidos e China, que foi acordada no Peru."
532.0,535.0,Com a gente mencionou a semana passada que o Joe Biden e o G.T.P.
535.0,539.0,"se encontraram no Peru e três cidadãos dos Estados Unidos,"
539.0,546.0,"que estavam presos na China, foram libertados entre 48 e 78 anos de idade"
546.0,552.0,"e foram condenados um por tráfico de drogas, outro por espionagem."
552.0,558.0,E cidadãos chineses que estavam presos nos Estados Unidos também foram libertados.
558.0,560.0,"E, antes de passar para a próxima notícia,"
560.0,565.0,também tivemos o comunicado pelo menos três universidades estadounidenses
565.0,574.0,"entre elas, o MIT, adivertindo estudantes estrangeiros e funcionários"
574.0,580.0,para que voltem antes da pósse do Trump em 20 de janeiro
580.0,585.0,"para evitar qualquer tipo de bloqueio no seu retorno ao país,"
585.0,592.0,pensando no que ocorreu em 2017 numa ocasião similar.
592.0,596.0,"Agora, eu quero ver essa manchete na sua voz, por favor."
596.0,603.0,Notícia da segunda-feira passada de a 25 de novembro.
603.0,613.0,Polícia Nerlandesa encontra estátua de guinomo de dois quilos feita de extasi.
613.0,614.0,É isso mesmo.
614.0,621.0,É uma manchete tão surreal que ela não podia não estar aqui.
621.0,628.0,"Então a polícia Nerlandesa estava fazendo uma batida policial,"
628.0,636.0,uma operação de busca a preenção e os policiais suspeitaram da estátua de guinomo
636.0,644.0,e decidiram realizar um teste na estátua e descobriram que ela é feita de extasi.
644.0,648.0,Então é um guinomo de jardim feito de puro extasi.
648.0,650.0,Ela é puro extasi.
650.0,654.0,Agora não sei se as pessoas iam lá e lambiam o guinomo.
654.0,656.0,Foi esse teste.
656.0,662.0,"Não, mas a ideia de esforçar droga era ser imunial, enfim, não sabemos."
662.0,668.0,"Agora em duas notícias mais sérias europeias, a Tyson Croup,"
668.0,678.0,"a maior cederúrgica alemã e parte ali nexorável da formação da Alemane,"
678.0,684.0,"a polícia exententa da Olimpera Alemane, muito influência da família Croup na política externa alemane,"
684.0,692.0,"inclusive, a Tyson Croup anunciou que vão cortar 11 mil postos de trabalho."
692.0,701.0,"E que nos próximos seis anos serão cortados 27 mil postos de trabalho,"
701.0,709.0,e dá mais ou menos um terço de todo o quadro de funcionários da empresa.
709.0,718.0,Eles afirman que isso é culpa de competição injusta com importados da Ásia.
718.0,724.0,E não é a primeira empresa gigante alemã que a gente comenta aqui que está em maus lençóis.
724.0,727.0,Volkswagen está numa situação também muito delicada.
727.0,734.0,"Então, enfim, são grandes empresas tradicionais alemãs que estão mal das pernas."
734.0,742.0,"E nós tivemos infelizmente um acidente aéreo na litúnia,"
742.0,751.0,"na qual uma avião de carga da DHL, que é alemã, que se acidentou na aeroporto de víunos,"
751.0,759.0,"deixando uma pessoa morta um dos pilotos. E muito foi especulado se poderia ser uma sabotagem,"
759.0,765.0,"se poderia ter sido, enfim, eu tivesse tido alguma malícia no que ocorreu,"
765.0,773.0,"era uma aeronave 737, porém as autoridades lituanas rejeitaram esse tipo de especulação"
773.0,780.0,e afirmaram que foi de fato entre aspas apenas um acidente.
780.0,786.0,Notícia da última terça-feira de 26 de novembro.
786.0,792.0,Rússia faz maior ataque com drones da guerra na Ucrania.
792.0,797.0,"Bem, faremos um pequeno giro aqui pelas últimas notícias da guerra na Ucrania,"
797.0,806.0,"começando pelo fato de que na terça-feira de 26, nós tivemos o uso de 188 drones"
