start_segment,end_segment,text
0.0,4.64,O Podqueste que você ouve agora uma produção da Centra ou 13
4.64,16.68,Comessa agora o Chadreis Verbal
16.68,22.88,Bom crepúsculo ouvintes da Centra ou 3
22.88,26.76,Está começando mais o Medição do Chadreis Verbal
26.76,33.52,A sua revista Semanal de Política Internacional em Formato Podcastal
33.52,36.64,Meu nome é Matias Pinti como sempre estou ao lado dele
36.64,43.44,"Meu amigo e companheiro, Felipe Nobre Figueiredo, O homem por trás do tabuleiro"
43.44,47.0,"Olá meu carmatias, Olá todos os nossos ouvintes, todo mundo que nos ouvimos nos"
47.0,51.24,"Preciginos de Vuga, nos Solera, nos émos nos deseja, diz que nos odeia, mas não nos"
51.24,64.88,"tira o dovido chegando aqui a edição de número 399, falta 1, falta 1 para 400 e obviamente 399"
64.88,73.72,"apenas múltiplos de 3, 399, ou seja tem que jogar no 3, o que animal 3 você"
73.72,81.68,"Entende, 3, nossa de cabeça não lembra, todo é ser direcionado, não na verdade não é"
81.68,85.28,"para ninguém jogar nada, é só uma brincadeira, só uma referência ao jogo do"
85.28,91.96,"Mas quiser jogar é o burro, viu, é o burro mesmo, é o burro"
91.96,99.48,Enfim estou em Belo Horizonte como comentei no programa passado então por isso estamos
99.48,106.44,"gravando a distância, manda um abraço para todo mundo dar o FMG, tudo no que esteve lá"
106.44,113.76,"ontem no evento organizado pelo pessoal da Faculdade História, um abraço"
113.76,120.28,"pessoal da organização especialmente pro Rafael, depois no final do programa tem mais"
120.28,125.88,"recadinhos e também manda uma abração para nossa querida Carol Konig, que a gente"
125.88,133.12,"assiste, esbrincou sobre um parente dela na política europeia e manda uma abração"
133.12,138.64,"para ela, ela que é uma amiga muito presente nos ajuda com várias coisas de"
138.64,144.12,José do Serbal e faz tempo que não nos vemos.
144.12,149.64,"E Felipe fica aqui o abraço também pro Carlos Rauregui na Sovinte de Longadata,"
149.64,155.6,"Carlos Bolívia lá de Minas, ele que veio com a família aqui para São Paulo,"
155.6,162.72,"Lili e o Marcelo estão nos visitando aqui no estúdio Guérrdio Vênz, vocês acabaram"
162.72,169.28,"se desencontrando, fizeram o caminho em verso, então ele trouxe um presente para você"
169.28,174.52,"que eu estou guardando aqui, mas fica aqui o salve para a família toda."
174.52,182.84,"Ah, eu agradeço o carinho do Carlos Bolívia e estou levando o que tu te também para você."
182.84,188.56,"Então sem mais delongas, passemos para o primeiro bloco do giro de notícias."
193.84,195.36,Giro de notícias.
195.36,211.04,"Notícias do domingo passado de a 13 de outubro, primeiro o ministro da Islândia convoca"
211.04,213.04,novas eleições.
