start_segment,end_segment,text
0.0,4.0,O Podqueste que você ouve agora uma produção da Centra-O-3.
4.0,16.4,Começa agora ao Chadreis Verbal.
16.4,26.76,Bom crepúsculo ouvintes da Centra-O-3 está começando mais uma edição do Chadreis Verbal.
26.76,33.64,"A sua revista Semanal de Política Internacional em Formato, Podcastal."
33.64,36.92,Meu nome é Matias Pinto e como sempre estou ao lado dele.
36.92,43.56,"Meu amigo e companheiro, Felipe Nobre-Figueiredo, homem por traseo tabuleiro."
43.56,46.36,"Olá, meu carmatias. Olá, todos nós ouvintes."
46.36,47.36,"Olá, todos nós ouvintes."
47.36,50.04,Nós vamos nos proteger. Nós vamos nos deseger.
50.04,60.84,"Diz que nos odeia, mas não nos tira no ouvido, chegando aqui a edição de número 400 e 2 do Chadreis Verbal."
60.84,67.48,"Rio Grande da Serra, terminal Rodoviário de Ribeirão-Pires, linha da MTU que um ouvinte mandou."
67.48,77.56,"Teve também a nossa ouvinte Larry Soares, que nos escreveu lá de Portugal, dizendo que pega a linha 402 lá no Porto,"
77.56,80.04,"que é a boa vista, bom sucesso."
80.04,84.76,"Eu lembro que o ônibus é tão caro no Porto, que eu andei aquela cidade inteira."
88.76,95.0,"Eu juro que eu estava esperando, mas é boa vista, é bom sucesso apenas coisas boas."
95.0,96.08,"Boas, é."
96.08,98.16,Um mensagem espositiva.
98.16,99.92,Mensagem espositivas.
99.92,105.96,"E a gente mandava beijo em nome de oso, a gente agora tem brincadeira do ônibus e fivimé,"
105.96,109.64,"a gente faz essas duroselas, e daqui a pouco a gente está sem duroselas por fazer."
109.64,117.64,"Mas ó, recado importante, porque depois vocês não pressam atenção, vem vim cobrando a gente."
117.64,121.24,"E aí eu bloquei vocês, se ficou chorando."
121.24,125.4,"Depois não adianta vim falar comigo, porque não tem nada a ver."
125.4,129.84,"Pois é, porque eu viri falo, porque a pessoa tem cheia do meu saco pelo programa,"
129.84,132.24,e se ela nem pressa atenção no que a gente fala.
132.24,139.12,"Então olha só, gente, estamos gravando esse programa na sexta-feira de a 8 de novembro."
139.12,142.64,O programa sobre eleições do Trump é mesmo.
142.64,143.64,"É, é."
143.64,152.24,O nosso querido Gustavo tem muita coisa nesse programa e semana que vem começam os eventos
152.24,154.72,"do G20, no Rio de Janeiro."
155.08,161.84,"Então nós vamos ter o Cria G20, teremos o G20 social, o G20U, o 20,"
161.84,165.28,e depois a Cúpula do G20 no Rio de Janeiro.
165.28,166.84,O Verdoze de G20.
166.84,169.76,"Pois é, eu e o Matias estaremos no Rio de Janeiro."
169.76,173.56,"Então se vocês te vendam no Rio de Janeiro, fala nossa, aquele cara altão ali,"
173.56,177.44,"com a camisa do Tchacarita. Parece uma tia sim, porque é o único pessoa que tem que comer"
177.44,178.84,de Tchacarita no Brasil.
178.84,179.84,Então você pode lá.
179.84,181.2,"A única também não, né?"
181.2,182.2,"É, ok."
182.2,184.2,Algumas dezenas.
184.2,185.2,Ok.
185.2,189.52,E aí você pode lá e falar e tirar uma foto e tal.
189.52,193.12,Você dificilmente vai me ver porque eu vou estar trancado numa condicionada.
193.12,200.12,"Mas, então, semana que vem estaremos no Rio no G20, vamos postar coisas anteriores sociais."
200.12,207.92,"E aí no dia 20 de novembro, para ficar no Verdoze, nós vamos gravar um programa"
208.0,214.72,"para o rudo especial sobre o G20, com a gente espera materiais e entrevistas que a gente"
214.72,216.92,eventualmente produz a lá no Rio de Janeiro.
216.92,221.12,"Então, semana que vem não terá programa."
221.12,227.12,"Nós vamos ter programa no dia 20 para abrangerem, então, essas semanas todas."
227.12,230.92,"Então, é como se fosse assim?"
230.92,235.96,"Ou se programar amanhã de a nove, aí de a 20 a gente grava, e aí o programa seguinte"
235.96,238.72,apenas a sexta-feira de a 29.
238.72,239.72,Tá bom?
239.72,241.52,"Então, é isso."
241.52,245.8,"Para a gente produzir bastante coisa no G20, eu, então, pelo menos, aprender coisas, vamos"
245.8,249.08,lá assistir os painéis e encontrar pessoas.
249.08,253.68,"Novamente, você que ver a gente pode entrar em contato."
253.68,257.8,"E, se você que tá ouvindo esse programa, né, já tá ouvindo."
257.8,261.2,Trabalha com alguma coisa relacionada com o G20 e trabalha com uma embaixada dos países
261.2,263.64,"de 20, alguma coisa assim."
263.64,267.92,"Um mensage para a gente, manda um email em contato à roba chadriserva.com, que a gente"
267.92,269.76,pode combinar alguma coisa também.
269.76,270.76,Tá bom?
270.76,271.76,É isso.
271.76,276.28,"Então, passemos para o primeiro bloco do giro de notícias."
276.28,301.6,"Abrei no mês de novembro, notícia do dia 1º sexta-feira da semana passada."
301.6,309.32,"Partido no poder a quase seis décadas, perde as eleições em Botswana."
309.32,314.92,A gente vai comentar duas que as pesquisas estavam indicando esse cenário.
314.92,322.44,"E agora, o guarda-chuva pela mudança democrática, cujo símbolo é um guarda-chuva."
322.44,329.36,"E que ele tem esse nome, porque foram vários movimentos sociais que se juntaram em uma"
329.36,336.4,"qualidade equalizão eleitoral, um movimento de esquerda, inclusive, venceu as eleições"
336.4,340.48,"com 37,2% dos votos."
340.48,347.64,"São 69 a 100 na Assembleia Nacional, porém, 61 são disputados."
347.64,356.12,"Os outros 8 a 100 são separados, para indicações representando grupos tradicionais de Botswana"
356.16,362.92,e o presidente do país e o líder da casa também ocupam outro acento.
362.92,369.88,"Então, eram 61 a 100 em jogo, 31 necessários para a maioria, e os guarda-chuva de esquerda"
369.88,374.4,ficaram com 28 a 100.
374.4,384.04,"E agora, meu caro-matias, olha só, o partido democrático de Botswana, que é o partido conservador do país,"
